id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
0,tjueni tusen sju hundre og tjueni, tjugonio tusen sjuhundratjugonio,4.2509375,0.17601933924015611,0.041407181178306225
1,L E P P E R, L E P P E R,5.5,0.17601933924015611,0.03200351622548293
2,F O R T J E N T E, F O R T J E N T E,5.25,0.17601933924015611,0.03352749318860117
3,Båtstø, Båtstad,3.75,0.17601933924015611,0.04693849046404163
4,"Tittelen på dette albumet mobiliserte fantasien,\Komma i likhet med det meste av den musikalske materie.\Punktum"," Titeln på detta albumet mobiliserade fantasien, i likhet med det mesta av den musikaliska materian. Punktum.",9.25,0.17601933924015611,0.019029117755692552
5,Noen flere smuler til landets mest ulykkelige mennesker har ikke oljelandet råd til., Någon flera smulor till landets mest olyckliga människor har icke oljelandet råd till.,6.75,0.17601933924015611,0.026076939146689796
6,K O M B I N A S J O N E R, K O M B I N A S Jod O N E R,12.75,0.17601933924015611,0.013805438371776951
7,De hadde fulgt selve rettssaken på tilhørerplass og mente at bevisførselen skurret., De hade följt själva rättssaken på tillhörig plats och menade att bevisförhållandena skurrat.,6.75,0.17601933924015611,0.026076939146689796
8,A R V I N G E R, A R V I N G E R,5.0,0.17601933924015611,0.03520386784803122
9,"I vinter har han måttet ty til rulleski for å få trent, fordi det har vært så lite snø."," I vinter har han mått ett tyg till rullski för att få rent, för det har varit så lite snö.",6.0,0.17601933924015611,0.02933655654002602
10,"Reker er det massevis av, og selges til langt utpå ettermiddagen.", Räkor är det massvisa av och säljs till långt ut på eftermiddagen.,5.25,0.17601933924015611,0.03352749318860117
11,Det er ikke for sent å snu., Det är inte för sent att snöa.,5.75,0.17601933924015611,0.03061205899828802
12,åpne den, öppna den,4.0,0.17601933924015611,0.04400483481003903
13,Nå vurderer ledelsen å ta i bruk andre metoder for å finne tyvseerne.\Punktum, Nu värderar ledarsen och tar i bruk andra metoder för att finna tjuvserien punkten.,8.5,0.17601933924015611,0.020708157557665426
14,Reduser skriftstørrelsen, reducerar skriftstörelsen,4.5,0.17601933924015611,0.03911540872003469
15,Bønnen er ikke noe slags tryllemiddel., Bönden är icke något slags trillemedel.,3.0,0.17601933924015611,0.05867311308005204
