id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
0,tjueni tusen sju hundre og tjueni, tjugonio tusen sjuhundratjugonio,4.2509375,0.17383328051073477,0.04089292785667509
1,L E P P E R, L E P P E R,5.5,0.17383328051073477,0.031606051001951775
2,F O R T J E N T E, F O R T J E N T E,5.25,0.17383328051073477,0.03311110104966376
3,Båtstø, Båtstad,3.75,0.17383328051073477,0.04635554146952927
4,"Tittelen på dette albumet mobiliserte fantasien,\Komma i likhet med det meste av den musikalske materie.\Punktum"," Titeln på detta albumet mobiliserade fantasien, i likhet med det mesta av den musikaliska materian. Punktum.",9.25,0.17383328051073477,0.018792787082241597
5,Noen flere smuler til landets mest ulykkelige mennesker har ikke oljelandet råd til., Någon flera smulor till landets mest olyckliga människor har icke oljelandet råd till.,6.75,0.17383328051073477,0.025753078594182927
6,K O M B I N A S J O N E R, K O M B I N A S Jod O N E R,12.75,0.17383328051073477,0.013633982785155667
7,De hadde fulgt selve rettssaken på tilhørerplass og mente at bevisførselen skurret., De hade följt själva rättssaken på tillhörig plats och menade att bevisförhållandena skurrat.,6.75,0.17383328051073477,0.025753078594182927
8,A R V I N G E R, A R V I N G E R,5.0,0.17383328051073477,0.03476665610214695
9,"I vinter har han måttet ty til rulleski for å få trent, fordi det har vært så lite snø."," I vinter har han mått ett tyg till rullski för att få rent, för det har varit så lite snö.",6.0,0.17383328051073477,0.028972213418455794
10,"Reker er det massevis av, og selges til langt utpå ettermiddagen.", Räkor är det massvisa av och säljs till långt ut på eftermiddagen.,5.25,0.17383328051073477,0.03311110104966376
11,Det er ikke for sent å snu., Det är inte för sent att snöa.,5.75,0.17383328051073477,0.030231874871432134
12,åpne den, öppna den,4.0,0.17383328051073477,0.04345832012768369
13,Nå vurderer ledelsen å ta i bruk andre metoder for å finne tyvseerne.\Punktum, Nu värderar ledarsen och tar i bruk andra metoder för att finna tjuvserien punkten.,8.5,0.17383328051073477,0.020450974177733502
14,Reduser skriftstørrelsen, reducerar skriftstörelsen,4.5,0.17383328051073477,0.03862961789127439
15,Bønnen er ikke noe slags tryllemiddel., Bönden är icke något slags trillemedel.,3.0,0.17383328051073477,0.05794442683691159
16,patrulje, patrulle,3.25,0.1331154458457604,0.04095859872177243
17,lagre som tekst, lagra som text,3.0,0.1331154458457604,0.044371815281920135
18,Det er ikke så lett å love penger her og nå., Det är icke så lätt att lova pengar här och nu.,4.0,0.1331154458457604,0.0332788614614401
19,sekstiseks tusen fire hundre og sytten, sextiosex tusen fyrahundrasjutton,4.2509375,0.1331154458457604,0.03131437379301869
20,Skalbukilen,,0.25,0.1331154458457604,0.5324617833830416
21,Hotell i nærområdet bør bestilles i svært god tid., Hotell i närområdet bör beställas i svart god tid.,5.75,0.1331154458457604,0.02315051232100181
22,I hjørnet av det minste soverommet står fax og telefon med papirbunker i ryddig halvsirkel rundt apparatet.\Punktum," I hörnet av det minsta sovrummet står fax och telefon med papperbunker och en riktig halvcirkel runt apparaten, punktum.",7.75,0.1331154458457604,0.017176186560743278
23,N O R G E S M E S T E R S K A P E T, N O R G E S M E S T E R S K A P E T,6.75,0.1331154458457604,0.019720806791964505
24,B A S S E N G E T, B A S S E N G E T,5.0,0.1331154458457604,0.02662308916915208
25,Elizabeth, Elisabeth,3.25,0.1331154458457604,0.04095859872177243
26,M A K T M I S B R U K, M A K T M I S B R U K,5.75,0.1331154458457604,0.02315051232100181
27,Begge de savnede båtene kom i havn før vindstyrken kom opp i orkan., Bägge de saknade båtarna kom i hamn för vindstyrkan kom upp i orkan.,7.0,0.1331154458457604,0.019016492263680056
28,Kopier, kopiera,2.75,0.1331154458457604,0.0484056166711856
29,Statens helsetilsyn foreslår en egen spesialistutdannelse for fengselsleger., Statens hälsotillsyn föreslår en egen specialistutbildad för fängelseläger.,7.5,0.1331154458457604,0.017748726112768055
30,P S Y K O L O G E N, P S Y K O L O G E N,5.75,0.1331154458457604,0.02315051232100181
31,P L I K T I G, P L I K T I G,4.5,0.1331154458457604,0.029581210187946756
32,tjueåtte tusen ett hundre og trettini, tjugoåtta tusen etthundratrettionio,4.2509375,0.11976689513539895,0.028174231010312186
33,trettifem tusen og tjueen, trettiofem tusen och tjugoett,3.25,0.11976689513539895,0.03685135234935352
34,Problemene med å organisere seg kommer klart frem i antallet meglinger for å få tariffavtaler., Problemen med att organisera sig kommer klart fram i antalet meglingar för att få tariffavtalet.,7.5,0.11976689513539895,0.015968919351386526
35,Opprett ny fil, och på rätt ny fil.,4.0,0.11976689513539895,0.02994172378384974
36,syttifem tusen sju hundre og nittifem, sjuttiofem tusen sjuhundranittiofem,3.5,0.11976689513539895,0.034219112895828276
37,"I norrøn tid var genitiv i flittig bruk, og også akkusativ og dativ.", I någon tid var genitiv i flitigbruk och också akusativ och dativ.,7.0,0.11976689513539895,0.017109556447914138
38,dukker dukker dukker, duckar duckar duckar,4.2509375,0.11976689513539895,0.028174231010312186
