id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
0,Blåbærturen ute på landet var en rein fornøyelse og flere av turgåerene hadde kilosvis med bær., Blåbærturen ute på landet var en ren fornøyelse og flere av turgårene hadde kilosvis med bær.,10.0,0.19749856647104025,0.019749856647104026
1,si si si, CCC,4.2509375,0.19749856647104025,0.04646000240442026
2,De store produsentene har forsøkt å sperre muligheten til resirkulering.\Punktum, De store produsentene har forsøkt å sperre muligheten til restyrkulering.,8.0,0.19749856647104025,0.02468732080888003
3,Ålvundeid, Olvene 8,3.75,0.19749856647104025,0.0526662843922774
4,benyttede benyttede benyttede, Nettopp.,0.25,0.19749856647104025,0.789994265884161
5,De er så vidt synlige gjennom skitne vinduer.\Punktum, De er så vidt synlige gjennom skittende vinduer.,5.75,0.19749856647104025,0.03434757677757222
6,Nå er de beste plukket ut.\Punktum," Nå er det best du plukket ut, punkten.",4.5,0.19749856647104025,0.04388857032689783
7,S K A T T L E G G I N G, SKATTLEGGING,4.5,0.19749856647104025,0.04388857032689783
8,"Han ser for seg delprosjekter av høy kvalitet, der innspill med klare forskningsmål og tverrfaglig karakter blir prioritert."," Han ser for seg delprosjekter av høy kvalitet, der innspill med klare forskningsmål og tverrfaglig karakter blir prioritert.",10.5,0.19749856647104025,0.018809387282956214
9,Sammenstøtene er de verste under den tre uker lange streiken., Sammenstøtene er de verste under den tre uker lange streiken.,5.25,0.19749856647104025,0.03761877456591243
10,åttito tusen ett hundre og syttiseks, 82.876,4.5,0.19749856647104025,0.04388857032689783
11,Hotell i nærområdet bør bestilles i svært god tid., Hotel i nærområdet bør bestilles i svært god tid.,6.0,0.19749856647104025,0.03291642774517337
12,Nordheim, Nordheim.,3.25,0.19749856647104025,0.060768789683397
13,Han har hele sitt liv levd nede i en kjeller uten kontakt med omverdenen.\Punktum, Han har hele sitt liv levd ned i en kjeller uten kontakt med omverdenen.,7.5,0.19749856647104025,0.0263331421961387
14,Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardt rammet av storflommen i høst., Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardrammet av storflåmen i høst.,7.25,0.19749856647104025,0.027241181582212448
15,"Idag er jeg strøket av svarteboken hans,\Komma vi er på talefot igjen.\Punktum"," I dag er jeg strøket av svarteboken hans, vi er på talefoten.",7.25,0.19749856647104025,0.027241181582212448
16,holder holder holder," Holder, holder, holder.",2.75,0.15067062649177387,0.05478931872428141
17,Høyrejuster tekst, Her ser dere teksten.,3.5,0.15067062649177387,0.043048750426221104
18,Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardt rammet av storflommen i høst., Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardt rammet av storflommen i høst.,11.0,0.15067062649177387,0.013697329681070352
19,Høyrejuster tekst, Høyere ljustere tekst.,4.0,0.15067062649177387,0.03766765662294347
20,Hyggen, Hingen?,3.5,0.15067062649177387,0.043048750426221104
21,"Hun har gitt seg i kast med et krevende trekantdrama, en fortelling om kjærlighetstyven som prøver å stjele en annen manns liv."," Hun har gitt seg i kast med et krevende trekantdrama, en fortelling om kjærlighetstyven som prøver å stjele en annen manns liv.",7.5,0.15067062649177387,0.02008941686556985
22,avbryt utskrift, Avbryt utskrift.,4.0,0.15067062649177387,0.03766765662294347
23,Farg denne linjen grønn, Farkedene linjen gleden.,3.75,0.15067062649177387,0.0401788337311397
24,Slik pleier det å gå med oss.\Punktum," Slik pleier de å gå med oss, punktum.",5.5,0.15067062649177387,0.027394659362140705
25,Gjesvær," Jesu, var?",3.0,0.15067062649177387,0.05022354216392463
26,E K S T R E M, E-Q-S-T-R-E-M,6.0,0.15067062649177387,0.025111771081962313
27,Vanligvis får kvinner med bekkenplager klare råd om å være forsiktige.\Punktum, Vanligvis får kvinner med bækkenplager klare råd om å være forsiktig.,6.75,0.15067062649177387,0.022321574295077612
28,"I sommer ble noen av ungdommene sendt ut på tur med ett sett regntøy, en sovepose og en båt som kontinuerlig måtte øses.", I sommer ble noen av ungdommene sendt ut på tur med etter sett regnte i en sovepose og en båt som kontinuerlig måtte øses.,9.25,0.15067062649177387,0.016288716377489066
29,T R Y G D E K O N T O R E T, T er i gede eko uante uar eit.,8.0,0.15067062649177387,0.018833828311471734
30,Flytt til niende ord i avsnitt åttien, Flytt til nye nord i avsnitt 81.,4.5,0.15067062649177387,0.03348236144261642
31,"Alle barna ventet på julenissen, som var forsinket på grunn av den kraftige motvinden.", Alle barna ventet på julenissen som var forsinket på grunn av den kraftige motvinden.,7.25,0.15067062649177387,0.020782155378175706
32,Det er så mye musikk jeg har gått glipp av., Det er så mye musikk jeg har gått og klippet.,4.2509375,0.12343736703041941,0.029037680989292224
33,Dette er en enebolig bokstavelig talt., Dette er en enebolig bokstavlig talt.,3.75,0.12343736703041941,0.03291663120811184
34,En klasse har nettopp bestemt seg for å bytte klasserom fra hovedbygningen til paviljongene., En klasse har nødt å bestemme seg for å bytte klasseromm fra hovedbygning til pavliangene.,7.0,0.12343736703041941,0.017633909575774202
35,femtito tusen åtte hundre og femtito, 52.852,5.0,0.12343736703041941,0.024687473406083883
36,fire   fire   en   fem   førtito   ni hundre og femtiseks, 441542956,8.0,0.12343736703041941,0.015429670878802426
37,F I S K E I N D U S T R I, F I S K E I N D U S T R I,7.25,0.12343736703041941,0.01702584372833371
38,Høyrejuster tekst," Høyere just der, tekst.",4.5,0.12343736703041941,0.027430526006759867
39,Redusér utvalget med ett avsnitt, Redusere utvalget med ett avsnitt.,4.2509375,0.12343736703041941,0.029037680989292224
40,åttitre tusen og tjueåtte, Og til 3028.,3.25,0.12343736703041941,0.037980728317052126
41,Øk venstre innrykk med to og en halv centimeter," Øk venstre inrykk med 2,5 cm.",5.75,0.12343736703041941,0.021467368179203375
