id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
0,Blåbærturen ute på landet var en rein fornøyelse og flere av turgåerene hadde kilosvis med bær.," Blåbärsturen ute på landet var en ren förnyelse, och flera av turistgårdarna hade kilosvis med bär.",10.0,0.18095525831449777,0.01809552583144978
1,si si si, si si si,4.2509375,0.18095525831449777,0.04256831776860934
2,De store produsentene har forsøkt å sperre muligheten til resirkulering.\Punktum, De stora producenterna har försökt att spärra möjligheten till recirkulering .,8.0,0.18095525831449777,0.02261940728931222
3,Ålvundeid, Oliver Unaid,3.75,0.18095525831449777,0.04825473555053274
4,benyttede benyttede benyttede,,0.25,0.18095525831449777,0.7238210332579911
5,De er så vidt synlige gjennom skitne vinduer.\Punktum, De är såvitt synliga genom sjittende vindur .,5.75,0.18095525831449777,0.03147047970686918
6,Nå er de beste plukket ut.\Punktum, Nu har de bästa plockat ut punkten.,4.5,0.18095525831449777,0.04021227962544395
7,S K A T T L E G G I N G, S K A T T L E G G I N G,4.5,0.18095525831449777,0.04021227962544395
8,"Han ser for seg delprosjekter av høy kvalitet, der innspill med klare forskningsmål og tverrfaglig karakter blir prioritert."," Han ser för sig delprojekter av hög kvalitet, där inspel med klara forskningsmål och tvärfaglig karaktär blir prioriterat.",10.5,0.18095525831449777,0.017233834125190264
9,Sammenstøtene er de verste under den tre uker lange streiken., Sammanstötarna är de värsta under den tre veckor långa strejken.,5.25,0.18095525831449777,0.03446766825038053
10,åttito tusen ett hundre og syttiseks, åttiotvå tusen arthundrasjuttiosex,4.5,0.18095525831449777,0.04021227962544395
11,Hotell i nærområdet bør bestilles i svært god tid., Hotell i närområdet bör bestillas i svart god tid.,6.0,0.18095525831449777,0.030159209719082963
12,Nordheim, Norheim,3.25,0.18095525831449777,0.05567854101984547
13,Han har hele sitt liv levd nede i en kjeller uten kontakt med omverdenen.\Punktum," Han har hela sitt liv levt nere i en källare utan kontakt med omvärlden, punkten.",7.5,0.18095525831449777,0.02412736777526637
14,Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardt rammet av storflommen i høst., Han fick också intervjua lokalbefolkningen i landsbyar i områden som blev hårt drabbade av storflommen i höst.,7.25,0.18095525831449777,0.024959345974413485
15,"Idag er jeg strøket av svarteboken hans,\Komma vi er på talefot igjen.\Punktum", I dag är jag strökad av svartboken hans . .,7.25,0.18095525831449777,0.024959345974413485
16,holder holder holder, håller håller håller,2.75,0.14475031709298491,0.0526364789429036
17,Høyrejuster tekst, Hur är just deras text?,3.5,0.14475031709298491,0.041357233455138545
18,Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardt rammet av storflommen i høst., Han fick också intervjua lokalbefolkningen i landsbyar i områden som blev hårt drabbade av storflammen i höstas.,11.0,0.14475031709298491,0.0131591197357259
19,Høyrejuster tekst, Hyrejustertext,4.0,0.14475031709298491,0.03618757927324623
20,Hyggen, Hyggen,3.5,0.14475031709298491,0.041357233455138545
21,"Hun har gitt seg i kast med et krevende trekantdrama, en fortelling om kjærlighetstyven som prøver å stjele en annen manns liv."," Hon har gett sig i kast med ett krävande trekantsdrama, en berättelse om kärlekstyveln som försöker stjäla en annan mans liv.",7.5,0.14475031709298491,0.019300042279064657
22,avbryt utskrift, avbryt utskrift,4.0,0.14475031709298491,0.03618757927324623
23,Farg denne linjen grønn, Far denne linjen grön.,3.75,0.14475031709298491,0.03860008455812931
24,Slik pleier det å gå med oss.\Punktum," Slik pläjir de och går med oss, punktum.",5.5,0.14475031709298491,0.0263182394714518
25,Gjesvær, Jesper,3.0,0.14475031709298491,0.04825010569766164
26,E K S T R E M, E K S T R E M,6.0,0.14475031709298491,0.02412505284883082
27,Vanligvis får kvinner med bekkenplager klare råd om å være forsiktige.\Punktum, Vanligtvis får kvinnor med bäckenplagg klara råd om att vara försiktiga. Punkt.,6.75,0.14475031709298491,0.02144449142118295
28,"I sommer ble noen av ungdommene sendt ut på tur med ett sett regntøy, en sovepose og en båt som kontinuerlig måtte øses."," I sommar blev någon av ungdomarna sänd ut på tur, med eftersatt regn en sovpåse och en båt som kontinuerligt måtte ösas.",9.25,0.14475031709298491,0.01564868292897134
29,T R Y G D E K O N T O R E T, T R I G D E K O N T O R E T,8.0,0.14475031709298491,0.018093789636623114
30,Flytt til niende ord i avsnitt åttien, Flytta till nio november i avsnitt åttioett.,4.5,0.14475031709298491,0.032166737131774426
31,"Alle barna ventet på julenissen, som var forsinket på grunn av den kraftige motvinden."," Alla barnen väntade på julenissen, som var försinkad på grund av den kraftiga motvinden.",7.25,0.14475031709298491,0.019965560978342747
32,Det er så mye musikk jeg har gått glipp av., Det är så mycket musik jag har gått klipp av.,4.2509375,0.12137678178260103,0.02855294432877478
33,Dette er en enebolig bokstavelig talt., Detta är en enebolig bokstavlig talt.,3.75,0.12137678178260103,0.03236714180869361
34,En klasse har nettopp bestemt seg for å bytte klasserom fra hovedbygningen til paviljongene., En klass har nött och bestämt sig för att byta klassrum från huvudbyggningen till paviljongerna.,7.0,0.12137678178260103,0.01733954025465729
35,femtito tusen åtte hundre og femtito, femtiotvå tusen åttahundrafemtiotå,5.0,0.12137678178260103,0.024275356356520207
36,fire   fire   en   fem   førtito   ni hundre og femtiseks, fyra fyra en fem fyrtiotvå niohundrafemtiosex,8.0,0.12137678178260103,0.015172097722825129
37,F I S K E I N D U S T R I, F I S K E I N D U S T R I,7.25,0.12137678178260103,0.01674162507346221
38,Høyrejuster tekst, för i det just är text,4.5,0.12137678178260103,0.02697261817391134
39,Redusér utvalget med ett avsnitt, Reducera utvalet med ett avsnitt.,4.2509375,0.12137678178260103,0.02855294432877478
40,åttitre tusen og tjueåtte, och till tre tusen och tjugoåtta,3.25,0.12137678178260103,0.03734670208695416
41,Øk venstre innrykk med to og en halv centimeter, Öka vänstra inriktning med två och en halv centimeter.,5.75,0.12137678178260103,0.021109005527408874
42,"Vi så rett bort på en person på broen, og vedkommende så tilbake på oss."," Vi såg rätt bort på en person på bron, och vedkomna såg tillbaka på oss.",7.0,0.12137678178260103,0.01733954025465729
43,tretten tusen ett hundre og femtini, tretton tusen etthundrafemtionio,4.0,0.12137678178260103,0.030344195445650257
