id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
0,Blåbærturen ute på landet var en rein fornøyelse og flere av turgåerene hadde kilosvis med bær.," Blåbærturen ute på landet var en ren fornøyelse, og flere av turgårene hadde tilhorsvis med bær.",10.0,0.1956921000033617,0.019569210000336172
1,si si si, CCC,4.2509375,0.1956921000033617,0.04603504521140612
2,De store produsentene har forsøkt å sperre muligheten til resirkulering.\Punktum, De store produsentene har forsøkt å sperre muligheten til resirkulering.,8.0,0.1956921000033617,0.024461512500420213
3,Ålvundeid, Olvene 8,3.75,0.1956921000033617,0.052184560000896454
4,benyttede benyttede benyttede,,0.25,0.1956921000033617,0.7827684000134468
5,De er så vidt synlige gjennom skitne vinduer.\Punktum, De er så vidt synlige gjennom skittende vinduer.,5.75,0.1956921000033617,0.03403340869623682
6,Nå er de beste plukket ut.\Punktum," Nå er det best du plukket ut, Punktum.",4.5,0.1956921000033617,0.04348713333408038
7,S K A T T L E G G I N G, SKATTLEGGING,4.5,0.1956921000033617,0.04348713333408038
8,"Han ser for seg delprosjekter av høy kvalitet, der innspill med klare forskningsmål og tverrfaglig karakter blir prioritert."," Han ser for seg delprosjekter av høy kvalitet, der innspill med klare forskningsmål og tverrfaglig karakter blir prioritert.",10.5,0.1956921000033617,0.01863734285746302
9,Sammenstøtene er de verste under den tre uker lange streiken., Sammenstøtene er de verste under den tre uker lange streiken.,5.25,0.1956921000033617,0.03727468571492604
10,åttito tusen ett hundre og syttiseks, 82.876,4.5,0.1956921000033617,0.04348713333408038
11,Hotell i nærområdet bør bestilles i svært god tid., Hotel i nærområdet bør bestilles i svært god tid.,6.0,0.1956921000033617,0.03261535000056028
12,Nordheim, Nordheim,3.25,0.1956921000033617,0.060212953847188215
13,Han har hele sitt liv levd nede i en kjeller uten kontakt med omverdenen.\Punktum, Han har hele sitt liv levd nede i en kjeller uten kontakt med omveiden.,7.5,0.1956921000033617,0.026092280000448227
14,Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardt rammet av storflommen i høst., Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardrammet av storflommen i høst.,7.25,0.1956921000033617,0.02699201379356713
15,"Idag er jeg strøket av svarteboken hans,\Komma vi er på talefot igjen.\Punktum"," I dag er jeg strøket av svarteboken hans, vi er på talefotogjenn.",7.25,0.1956921000033617,0.02699201379356713
