id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
0,tjueni tusen sju hundre og tjueni, tjugonio tusen sjuhundratjugonio,4.2509375,0.31318068387918174,0.07367332120954066
1,L E P P E R, L E P P E R,5.5,0.31318068387918174,0.05694194252348759
2,F O R T J E N T E, F O R T J E N T E,5.25,0.31318068387918174,0.059653463596034614
3,Båtstø, Båtstad,3.75,0.31318068387918174,0.08351484903444846
4,"Tittelen på dette albumet mobiliserte fantasien,\Komma i likhet med det meste av den musikalske materie.\Punktum"," Titeln på detta albumet mobiliserade fantasien, i likhet med det mesta av den musikaliska materian. Punktum.",9.25,0.2323718338739127,0.025121279337720293
5,Noen flere smuler til landets mest ulykkelige mennesker har ikke oljelandet råd til., Någon flera smulor till landets mest olyckliga människor har icke oljelandet råd till.,6.75,0.2323718338739127,0.03442545687020929
6,K O M B I N A S J O N E R, K O M B I N A S Jod O N E R,12.75,0.2323718338739127,0.01822524187246374
7,De hadde fulgt selve rettssaken på tilhørerplass og mente at bevisførselen skurret., De hade följt själva rättssaken på tillhörig plats och menade att bevisförhållandena skurrat.,6.75,0.2323718338739127,0.03442545687020929
8,A R V I N G E R, A R V I N G E R,5.0,0.18995312321931124,0.03799062464386225
9,"I vinter har han måttet ty til rulleski for å få trent, fordi det har vært så lite snø."," I vinter har han mått ett tyg till rullski för att få rent, för det har varit så lite snö.",6.0,0.18995312321931124,0.031658853869885206
10,"Reker er det massevis av, og selges til langt utpå ettermiddagen.", Räkor är det massvisa av och säljs till långt ut på eftermiddagen.,5.25,0.18995312321931124,0.03618154727986881
11,Det er ikke for sent å snu., Det är inte för sent att snöa.,5.75,0.18995312321931124,0.03303532577727152
12,åpne den, öppna den,4.0,0.17018423601984978,0.042546059004962444
13,Nå vurderer ledelsen å ta i bruk andre metoder for å finne tyvseerne.\Punktum, Nu värderar ledarsen och tar i bruk andra metoder för att finna tjuvserien punkten.,8.5,0.17018423601984978,0.02002167482586468
14,Reduser skriftstørrelsen, reducerar skriftstörelsen,4.5,0.17018423601984978,0.037818719115522176
15,Bønnen er ikke noe slags tryllemiddel., Bönden är icke något slags trillemedel.,3.0,0.17018423601984978,0.05672807867328326
16,patrulje, patrulle,3.25,0.12943332083523273,0.03982563718007161
17,lagre som tekst, lagra som text,3.0,0.12943332083523273,0.04314444027841091
18,Det er ikke så lett å love penger her og nå., Det är icke så lätt att lova pengar här och nu.,4.0,0.12943332083523273,0.032358330208808184
19,sekstiseks tusen fire hundre og sytten, sextiosex tusen fyrahundrasjutton,4.2509375,0.12943332083523273,0.030448182509207142
20,Skalbukilen,,0.25,0.2407028484158218,0.9628113936632872
21,Hotell i nærområdet bør bestilles i svært god tid., Hotell i närområdet bör beställas i svart god tid.,5.75,0.2407028484158218,0.04186136494188205
22,I hjørnet av det minste soverommet står fax og telefon med papirbunker i ryddig halvsirkel rundt apparatet.\Punktum," I hörnet av det minsta sovrummet står fax och telefon med papperbunker och en riktig halvcirkel runt apparaten, punktum.",7.75,0.2407028484158218,0.031058432053654425
23,N O R G E S M E S T E R S K A P E T, N O R G E S M E S T E R S K A P E T,6.75,0.2407028484158218,0.035659681246788415
24,B A S S E N G E T, B A S S E N G E T,5.0,0.17114316928200424,0.03422863385640085
25,Elizabeth, Elisabeth,3.25,0.17114316928200424,0.05265943670215515
26,M A K T M I S B R U K, M A K T M I S B R U K,5.75,0.17114316928200424,0.029764029440348564
27,Begge de savnede båtene kom i havn før vindstyrken kom opp i orkan., Bägge de saknade båtarna kom i hamn för vindstyrkan kom upp i orkan.,7.0,0.17114316928200424,0.024449024183143462
28,Kopier, kopiera,2.75,0.191463969880715,0.06962326177480546
29,Statens helsetilsyn foreslår en egen spesialistutdannelse for fengselsleger., Statens hälsotillsyn föreslår en egen specialistutbildad för fängelseläger.,7.5,0.191463969880715,0.025528529317428668
30,P S Y K O L O G E N, P S Y K O L O G E N,5.75,0.191463969880715,0.03329808171838522
31,P L I K T I G, P L I K T I G,4.5,0.191463969880715,0.042547548862381115
32,tjueåtte tusen ett hundre og trettini, tjugoåtta tusen etthundratrettionio,4.2509375,0.19306793482974172,0.045417730754625706
33,trettifem tusen og tjueen, trettiofem tusen och tjugoett,3.25,0.19306793482974172,0.0594055184091513
34,Problemene med å organisere seg kommer klart frem i antallet meglinger for å få tariffavtaler., Problemen med att organisera sig kommer klart fram i antalet meglingar för att få tariffavtalet.,7.5,0.19306793482974172,0.025742391310632228
35,Opprett ny fil, och på rätt ny fil.,4.0,0.19306793482974172,0.04826698370743543
36,syttifem tusen sju hundre og nittifem, sjuttiofem tusen sjuhundranittiofem,3.5,0.17113363719545305,0.048895324912986586
37,"I norrøn tid var genitiv i flittig bruk, og også akkusativ og dativ.", I någon tid var genitiv i flitigbruk och också akusativ och dativ.,7.0,0.17113363719545305,0.024447662456493293
38,dukker dukker dukker, duckar duckar duckar,4.2509375,0.17113363719545305,0.04025785775383737
39,tre   tre   tre   tre   førti   seks hundre og ti, tre tre tre tre fyrtio sexhundraåttio,7.0,0.17113363719545305,0.024447662456493293
40,Tidligere har regjeringen avslått henstillinger fra legehold om nettopp dette., Tidigare har regeringen avslagit hemställan från EG-håll om att stänga upp detta.,7.25,0.20884286216460168,0.028805912022703682
41,"Skal noen bytte plass, må bare én reise seg om gangen.", Skall någon byta plats med bara en resa i omgången.,4.2509375,0.20884286216460168,0.04912865977554402
42,Vis utskriftsformat, viss utgiftsformat,3.25,0.20884286216460168,0.06425934220449282
43,Forslaget til ny lov om eiendomsskatt er nå ute til høring., Förslaget till ny lov om egendomsskatt är nu ute till höring.,5.5,0.20884286216460168,0.03797142948447303
44,"Åpningen av nybygget skjer i dag, med en svært særegen konsert."," Öppningen av nybygget sker i dag, med en svårt säregen konsert.",7.25,0.18605040526017547,0.02566212486347248
45,Det skal sprenges ut en tunnel rett under husene., Det ska sprängas ut en tunnel rätt under husen.,3.75,0.18605040526017547,0.04961344140271346
