id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
0,Blåbærturen ute på landet var en rein fornøyelse og flere av turgåerene hadde kilosvis med bær., Blåbärsturen ute på landet var en ren förnyelse och flera av turgårdarna hade kilosvis med bär.,10.0,0.1852831373612086,0.01852831373612086
1,si si si, Si Si Si,4.2509375,0.1852831373612086,0.04358641766932791
2,De store produsentene har forsøkt å sperre muligheten til resirkulering.\Punktum, De stora producenterna har försökt att spärra möjligheten till recirkulering.,8.0,0.1852831373612086,0.023160392170151076
3,Ålvundeid, Oliver Unaid,3.75,0.1852831373612086,0.04940883662965563
4,benyttede benyttede benyttede,,0.25,0.1852831373612086,0.7411325494448344
5,De er så vidt synlige gjennom skitne vinduer.\Punktum," De är såvitt synliga genom sjittende vinduer, punktum.",5.75,0.1852831373612086,0.032223154323688455
6,Nå er de beste plukket ut.\Punktum," Nu har de bästa plockat ut, punkten.",4.5,0.1852831373612086,0.04117403052471302
7,S K A T T L E G G I N G, S K A T T L E G G I N G,4.5,0.1852831373612086,0.04117403052471302
8,"Han ser for seg delprosjekter av høy kvalitet, der innspill med klare forskningsmål og tverrfaglig karakter blir prioritert."," Han ser för sig delprojekter av hög kvalitet, där inspel med klara forskningsmål och tvärfaglig karaktär blir prioriterat.",10.5,0.1852831373612086,0.01764601308201987
9,Sammenstøtene er de verste under den tre uker lange streiken., Sammanstötarna är de värsta under den tre veckor långa strejken.,5.25,0.1852831373612086,0.03529202616403974
10,åttito tusen ett hundre og syttiseks, åttiotvå tusen artonhundrasjuttiosex,4.5,0.1852831373612086,0.04117403052471302
11,Hotell i nærområdet bør bestilles i svært god tid., Hotell i närområdet bör bestillas i svart god tid.,6.0,0.1852831373612086,0.030880522893534768
12,Nordheim, Norheim,3.25,0.1852831373612086,0.05701019611114111
13,Han har hele sitt liv levd nede i en kjeller uten kontakt med omverdenen.\Punktum," Han har hela sitt liv levt nere i en källare utan kontakt med omvärlden, punktum.",7.5,0.1852831373612086,0.024704418314827815
14,Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardt rammet av storflommen i høst., Han fick också intervjua lokalbefolkningen i landsbyar i områden som blev hårt drabbade av storflommen i höst.,7.25,0.1852831373612086,0.025556294808442567
